stop_name,display_name,constituent_station_names,station_ids,complex_id,gtfs_stop_ids
Parsons Blvd,Parsons Blvd (F),Parsons Blvd,256,256,F03
Sutphin Blvd,Sutphin Blvd (F),Sutphin Blvd,257,257,F04
Briarwood,Briarwood (E F),Briarwood,258,258,F05
Kew Gardens-Union Tpke,Kew Gardens-Union Tpke (E F),Kew Gardens-Union Tpke,259,259,F06
75 Av,75 Av (E F),75 Av,260,260,F07
Forest Hills-71 Av,Forest Hills-71 Av (E F M R),Forest Hills-71 Av,261,261,G08
67 Av,67 Av (M R),67 Av,262,262,G09
63 Dr-Rego Park,63 Dr-Rego Park (M R),63 Dr-Rego Park,263,263,G10
Woodhaven Blvd,Woodhaven Blvd (M R),Woodhaven Blvd,264,264,G11
Grand Av-Newtown,Grand Av-Newtown (M R),Grand Av-Newtown,265,265,G12
Elmhurst Av,Elmhurst Av (M R),Elmhurst Av,266,266,G13
65 St,65 St (M R),65 St,268,268,G15
Northern Blvd,Northern Blvd (M R),Northern Blvd,269,269,G16
46 St,46 St (M R),46 St,270,270,G18
Steinway St,Steinway St (M R),Steinway St,271,271,G19
36 St,36 St (M R),36 St,272,272,G20
Queens Plaza,Queens Plaza (E M R),Queens Plaza,273,273,G21
5 Av/53 St,5 Av/53 St (E M),5 Av/53 St,276,276,F12
7 Av,7 Av (E B D),7 Av,277,277,D14
Jamaica Center-Parsons/Archer,Jamaica Center-Parsons/Archer (E J Z),Jamaica Center-Parsons/Archer,278,278,G05
Sutphin Blvd-Archer Av-JFK Airport,Sutphin Blvd-Archer Av-JFK Airport (E J Z),Sutphin Blvd-Archer Av-JFK Airport,279,279,G06
Jamaica-Van Wyck,Jamaica-Van Wyck (E),Jamaica-Van Wyck,280,280,G07
21 St,21 St (G),21 St,282,282,G24
Greenpoint Av,Greenpoint Av (G),Greenpoint Av,283,283,G26
Nassau Av,Nassau Av (G),Nassau Av,284,284,G28
Broadway,Broadway (G),Broadway,286,286,G30
Flushing Av,Flushing Av (G),Flushing Av,287,287,G31
Myrtle-Willoughby Avs,Myrtle-Willoughby Avs (G),Myrtle-Willoughby Avs,288,288,G32
Bedford-Nostrand Avs,Bedford-Nostrand Avs (G),Bedford-Nostrand Avs,289,289,G33
Classon Av,Classon Av (G),Classon Av,290,290,G34
Clinton-Washington Avs,Clinton-Washington Avs (G),Clinton-Washington Avs,291,291,G35
Fulton St,Fulton St (G),Fulton St,292,292,G36
Van Cortlandt Park-242 St,Van Cortlandt Park-242 St (1),Van Cortlandt Park-242 St,293,293,101
238 St,238 St (1),238 St,294,294,103
231 St,231 St (1),231 St,295,295,104
Marble Hill-225 St,Marble Hill-225 St (1),Marble Hill-225 St,296,296,106
215 St,215 St (1),215 St,297,297,107
207 St,207 St (1),207 St,298,298,108
Dyckman St,Dyckman St (1),Dyckman St,299,299,109
191 St,191 St (1),191 St,300,300,110
181 St,181 St (1),181 St,301,301,111
157 St,157 St (1),157 St,303,303,113
145 St,145 St (1),145 St,304,304,114
137 St-City College,137 St-City College (1),137 St-City College,305,305,115
125 St,125 St (1),125 St,306,306,116
116 St-Columbia University,116 St-Columbia University (1),116 St-Columbia University,307,307,117
Cathedral Pkwy (110 St),Cathedral Pkwy (110 St) (1),Cathedral Pkwy (110 St),308,308,118
103 St,103 St (1),103 St,309,309,119
96 St,96 St (1 2 3),96 St,310,310,120
86 St,86 St (1),86 St,311,311,121
79 St,79 St (1),79 St,312,312,122
72 St,72 St (1 2 3),72 St,313,313,123
66 St-Lincoln Center,66 St-Lincoln Center (1),66 St-Lincoln Center,314,314,124
50 St,50 St (1),50 St,316,316,126
34 St-Penn Station,34 St-Penn Station (1 2 3),34 St-Penn Station,318,318,128
28 St,28 St (1),28 St,319,319,129
23 St,23 St (1),23 St,320,320,130
18 St,18 St (1),18 St,321,321,131
Christopher St-Stonewall,Christopher St-Stonewall (1),Christopher St-Stonewall,323,323,133
Houston St,Houston St (1),Houston St,324,324,134
Canal St,Canal St (1),Canal St,325,325,135
Franklin St,Franklin St (1),Franklin St,326,326,136
Chambers St,Chambers St (1 2 3),Chambers St,327,327,137
WTC Cortlandt,WTC Cortlandt (1),WTC Cortlandt,328,328,138
Rector St,Rector St (1),Rector St,329,329,139
Wall St,Wall St (2 3),Wall St,333,333,230
Clark St,Clark St (2 3),Clark St,334,334,231
Hoyt St,Hoyt St (2 3),Hoyt St,336,336,233
Nevins St,Nevins St (2 3 4 5),Nevins St,337,337,234
Bergen St,Bergen St (2 3),Bergen St,339,339,236
Grand Army Plaza,Grand Army Plaza (2 3),Grand Army Plaza,340,340,237
Eastern Pkwy-Brooklyn Museum,Eastern Pkwy-Brooklyn Museum (2 3),Eastern Pkwy-Brooklyn Museum,341,341,238
Nostrand Av,Nostrand Av (3),Nostrand Av,343,343,248
